Row,References,Part,Value,P/N,Manufacture,Source,Supplier P/N,Link,Footprint,Description,Quantity Per PCB
1,C101 C102 C103 C104 C105 C106 C107 C201 C202 C203 C204 C206 C207 C210 C211 C212 C213 C214 C216 C301 C302 C303 C304 C401 C402 C403 C404,C,3.3 nF,,,JLCPCB,,https://jlcpcb.com/partdetail/Tdk-C3216X7R1E335KT000N/C76663 https://jlcpcb.com/partdetail/53938-CL05A105KA5NQNC/C52923 https://jlcpcb.com/partdetail/291005-CL05B104KB54PNC/C307331 https://jlcpcb.com/partdetail/Yageo-CC0805KRX7R9BB221/C107145 https://jlcpcb.com/partdetail/33914-CL05C100JB5NNNC/C32949 https://jlcpcb.com/partdetail/97651-CL10A106MA8NRNC/C96446 https://jlcpcb.com/partdetail/29074-CL21B105KBFNNNE/C28323,C_1206_3216Metric,Unpolarized capacitor,27
2,C205 C208 C209 C215,C_Polarized,1 F,,,TME JLCPCB,,https://www.tme.eu/en/details/scv1f-3.0v-ltz/supercapacitors/spscap/scv0001c0-003r0ltz/ https://jlcpcb.com/partdetail/-TAJB107K006RNJ/C16133,CP_Radial_D8.0mm_P3.50mm,Polarized capacitor,4
3,D202,1N4148WS,1N4148WS,,,JLCPCB,,https://jlcpcb.com/partdetail/2485-1N4148WS/C2128,D_SOD-323,"75V 0.15A Fast switching Diode, SOD-323",1
4,D101,BZT52Bxx,BZT52B5V6T,,,JLCPCB,,https://jlcpcb.com/partdetail/Lrc-LBZT52B5V6T1G/C2912016,D_SOD-123F,"500mW Zener Diode, SOD-123F",1
5,D201,ESD9B3.3ST5G,ESD9B3.3ST5G,,,JLCPCB,,https://jlcpcb.com/partdetail/Onsemi-ESD9B33ST5G/C96512,D_SOD-923,"ESD protection diode, 3.3Vrwm, SOD-923",1
6,D102 D103 D104 D105 D106 D107 D108 D109 D110 D111 D301 D401,LED,RED,,,JLCPCB,,https://jlcpcb.com/partdetail/Xinglight-XL_1608VRC06/C7371906 https://jlcpcb.com/partdetail/Xinglight-XL_1608UYC04/C965803 https://jlcpcb.com/partdetail/Xinglight-XL_1608UGC04/C965804,LED_0603_1608Metric,Light emitting diode,12
7,J101 J102 J103 J108,Conn_01x02,12V OUT,,,Digikey,2946-236-402-ND,https://www.digikey.de/de/products/detail/wago-corporation/236-402/15573417,TerminalBlock_WAGO_236-402_1x02_P5.00mm_45Degree,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",4
8,J104 J105 J106,745-302,BAT,,,Digikey,2946-745-302-ND,https://www.digikey.de/de/products/detail/wago-corporation/745-302/15557017,745-302_WAGO,,3
9,J201,Conn_01x07,DISP,,,Digikey,609-6552-ND,https://www.digikey.de/de/products/detail/amphenol-cs-fci/76341-307LF/1523892?s=N4IgjCBcoBw1oDGUBmBDANgZwKYBoQB7KAbRACYA2AdhnIFYQBdAgBwBcoQBldgJwCWAOwDmIAL4EwVAMwIQySOmz4ipEJQAsMSowKUt9ciALV60uafPlNzNp0g9%2BwsZPDUAnAAZ5i5bgJiSDIPaio7EA4uXkFRCQJyMDDfVEwAtWDwCKjHAEkhdhwRHD54kABaY2gFKH4AV1Ugsj0QD2Y3crbqxXrG9QgmcTdKeQEAEy5ysC8Iey4TEHYAT1YcLjQsZCGgA,PinSocket_1x07_P2.54mm_Vertical,"Generic connector, single row, 01x07, script generated (kicad-library-utils/schlib/autogen/connector/)",1
10,J203,Conn_01x06,SPI,,,Digikey,952-1809-ND,https://www.digikey.de/de/products/detail/harwin-inc/M20-7820646/3727777,PinSocket_1x06_P2.54mm_Vertical,"Generic connector, single row, 01x06, script generated (kicad-library-utils/schlib/autogen/connector/)",1
